container_id	strategy	replacement_sha256	payload_sha256	reason
battlegauge	whole	8F0B27B68CC69EDFE572123E34291503EA1BED15F6EEB857DCD2A57D7CD45B62	3587EB4BB6404DD7E50DBD5F63BDF187D095B82D3407777EC26417AB4DF4D0D4	Import the complete official English container so its localized models and UVs stay coupled to its textures.
charsel1	whole	BAFFCCF2C935D2D60E56065A0DFB090A685F0B29A4C7867DE5CC01AC784FDF8F	17A410E6BE5AC6ECE339C1456DE2791A839BBBB4C194B9428AFC49CAF245ECCF	Import the complete official English container so its localized models and UVs stay coupled to its textures.
continue	whole	A154F5DC4FF542BA4E1E1CA3D53DD1478C444C56317A47D495D21A482F9F4E81	D6C051B805C8A3C7FF21F20D2620B319AEC0519EB76F765EC4A218859BF39136	Import the complete official English container so its localized models and animations stay coupled to its textures.
enddemo	mapped	5769047E0A9AE40DB362A1840F085CD385772B3C6E6DFEE10E6491BBAEF79425	D0EE0B8F108CC6B40B7BB71F8273C2C2EB3F79F4EAB0EC25C3BC9C550DE60B29	Import only the official English Winner emblem; preserve the unrelated NA2 background textures and target CCS structure.
gauge	whole	345EAA1BD10FB54FEC88CE9C6039D98B4104C4A6299E22BB8A35F01AB64AA7E8	0A3FC406262BC97145A49F27522CFE9063774CC8CB99B877D2252392ECEAF490	Import the complete official English common-window container so its regional button legends, character labels, models, and UVs stay coupled.
home	whole	ACCD8D0014815C6B48FBD90AAE5755A021AD4AE3B81A7DDE49A1C5F5A80B9346	9ADAC4D30DD9F2F9DE89732CD3B735F3531B48F90CD43F33711F9BCEF6434E20	Import the complete official English container so its localized models and UVs stay coupled to its textures.
loading_spload	whole	E78FA6CDA2D1FEA7BBE4E7107F5D3559E4F8D2F39821A0F9D0473A73C1EE5FC9	7353F3FA03B5AB16C25D07DCD2FFE4315D468C576C51D14973131B0FA8178DDC	Import the complete official English container.
mapsel1	whole	3F0EB0B3F900B6338318FA367F3C74C1F2D1540415EE5AA628C1786D337B3CBF	D84507B403F6E607CFCD4EB7860D89EC7F56B3C593F591A537B5865582863A0E	Import the complete official English container so stage pictures, ordering, models, UVs, and labels stay coupled.
mode1_ank	whole	E7E463481CAF96146C050B4E57C8185D826865918A21D07B267CFDC474B85F96	7884C1A3E9DCBF2B76123B59BE61075FB35ECC245496D7FC13C211AADEAC9808	Import the complete official English character resource; its only decoded visual changes are the victory name and ordinary-awakening label or labels.
mode1_asw	whole	D6C5DFE5C31F480FE2B0C0B070E9B9775628A24C2A46E386D1A7BA43FBFEBA56	C59CCD95B166A7A70FB699E6798E9B0342374338E517AACC63984CEA2DE46AFD	Import the complete official English character resource; its only decoded visual changes are the victory name and ordinary-awakening label or labels.
